Food,Cuisine,Main_Protein,Cooking_Method,Vegetarian,Meal_Type,Favored
Slow Simmered Carnitas,Mexican,Pork,Simmered,No,Dinner,Yes
Ceviche Bar (Plated),Latin American,Seafood,Raw,No,Lunch,No
Creamy Chipotle Chicken Pasta,Mexican,Chicken,Simmered,No,Dinner,Yes
Chicken Pot Pie,American,Chicken,Baked,No,Dinner,No
Peruvian Lomo Saltado,Peruvian,Beef,Stir-Fried,No,Dinner,No
Classic Clam Chowder Bread Bowl,American,Seafood,Simmered,No,Lunch,Yes
Mediterranean Lamb Rice Bowl,Mediterranean,Lamb,Grilled,No,Lunch,No
Chicken Mole,Mexican,Chicken,Simmered,No,Dinner,No
Mommas Calabasitas Con Puerco,Mexican,Pork,Simmered,No,Dinner,No
Blackened Salmon,American,Fish,Grilled,No,Dinner,Yes
Char Siu Bao Bun (Plated),Chinese,Pork,Steamed,No,Dinner,Yes
Grilled Chicken Wings,American,Chicken,Grilled,No,Dinner,Yes
Creamy Shrimp Alfredo Pasta,Italian,Seafood,Boiled,No,Dinner,Yes
Thai Red Curry (Plated),Thai,Chicken,Simmered,No,Dinner,No
All Beef Burger,American,Beef,Grilled,No,Lunch,Yes
Taco Tuesday,Mexican,Beef,Grilled,No,Lunch,Yes
Korean Bibimbap Bowl,Korean,Beef,Stir-Fried,No,Lunch,No
Enchiladas Plate,Mexican,Chicken,Baked,No,Dinner,Yes
Thai Spicy Seafood Soup,Thai,Seafood,Boiled,No,Lunch,No
Meatloaf,American,Beef,Baked,No,Dinner,No
Gyudon Bowl (Plated),Japanese,Beef,Simmered,No,Lunch,Yes
Fish & Chips,British,Fish,Fried,No,Dinner,Yes
Creamy Butter Chicken,Indian,Chicken,Simmered,No,Dinner,Yes
Pastrami Reuben Sandwhich (Plated 1/2),American,Beef,Grilled,No,Dinner,Yes
Salvadorian Pupusas,Salvadorian,Pork,Grilled,No,Dinner,Yes
Cajun Shrimp Boil (Plated),Cajun,Seafood,Boiled,No,Dinner,No
Honey Walnut Shrimp,Chinese,Seafood,Fried,No,Dinner,Yes
Breakfast Cheesy Enchiladas (Plated),Mexican,Eggs,Baked,Yes,Breakfast,Yes
Bacon Egg Casserole,American,Pork,Baked,No,Breakfast,Yes
Breakfast Platter,American,Eggs,Fried,Yes,Breakfast,Yes
Breakfast Burrito Plated,Mexican,Eggs,Grilled,Yes,Breakfast,Yes
Chicken Parmesan Pasta,Italian,Chicken,Baked,No,Dinner,Yes
Seafood Cioppino,Italian,Seafood,Simmered,No,Dinner,No
Grilled Teriyaki Chicken Bowl,Japanese,Chicken,Grilled,No,Lunch,Yes
BBQ Cowboy All Beef Burger,American,Beef,Grilled,No,Lunch,Yes
Street Style Grilled Hot Dog,American,Pork,Grilled,No,Lunch,Yes
Braised Chicken Tinga Tostadas,Mexican,Chicken,Simmered,No,Dinner,No
Chilaquiles,Mexican,Eggs,Fried,Yes,Breakfast,Yes
Lemon Pepper Salmon,American,Fish,Grilled,No,Dinner,Yes
Beef Pho,Vietnamese,Beef,Boiled,No,Dinner,Yes
Shrimp Mac'n Cheese,American,Seafood,Baked,No,Dinner,Yes
Crispy Chicken Tenders,American,Chicken,Fried,No,Dinner,Yes
Chicken Tikka Masala,Indian,Chicken,Simmered,No,Dinner,Yes
Tuscan Lemon Shrimp Penne,Italian,Seafood,Boiled,No,Dinner,Yes
Al Pastor Tacos,Mexican,Pork,Grilled,No,Lunch,Yes
Szechuan Pork Belly,Chinese,Pork,Stir-Fried,No,Dinner,No
Quesabirria Tacos,Mexican,Beef,Grilled,No,Lunch,Yes
Mediterranean Citrus Herb Chicken,Mediterranean,Chicken,Grilled,No,Dinner,No
Huli Huli Chicken,Hawaiian,Chicken,Grilled,No,Dinner,No
Turkey Taco Salad,Mexican,Turkey,Grilled,No,Lunch,Yes
Lamb Pita,Mediterranean,Lamb,Grilled,No,Dinner,No
Lemon Herb Baked Cod,American,Fish,Baked,No,Dinner,No
Penne & Turkey Bolognese,Italian,Turkey,Boiled,No,Dinner,Yes
Pan Seared Salmon,American,Fish,Grilled,No,Dinner,Yes
